timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608485927178,184,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-46,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,183,0,0
1608485923293,4132,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3684,0,1
1608485923293,3684,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-10,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3684,0,1
1608485926979,446,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,445,0,0
1608485923741,3741,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-48,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3466,0,1
1608485923741,3466,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-48,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3466,0,1
1608485927207,275,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-48,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,274,0,0
1608485923531,4019,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3721,0,1
1608485923531,3721,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-39,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3721,0,1
1608485927252,298,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,297,0,0
1608485924216,3371,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3191,0,0
1608485924216,3191,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-4,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3191,0,0
1608485927407,180,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,180,0,0
1608485923754,3942,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3545,0,1
